X,Y,BUILDINGS,USE,MATERIAL,NR_FLOORS,TYPE,VALUE_MIN,VALUE_MAX,PEOPLE_MIN,PEOPLE_MAX,COMMUNE,ADMIN_UNIT,Area,Use_Type,XCOORD,YCOORD,station,x,y
387177.433607364,5151775.98438747,_48,Greenhouse,Plastic,1,WO_1,7290,10103,0,0,Tarvisio,TarvisioB2,13,4,387177.433607,5151775.984387,SIHb,13.5293715971825,46.5100979037414
387602.141415349,5151525.2511088,_55,Greenhouse,Plastic,1,WO_1,105861,146720,0,0,Tarvisio,TarvisioB2,186,4,387602.141415,5151525.251109,Sem27,13.5349663856279,46.5079131915229
388357.769183784,5151922.18844089,_60,Holiday_apartment,Masonary_wood,3,MA_3,2527388,3126665,0,119,Tarvisio,TarvisioB2,869,1,388357.769184,5151922.188441,Sem26,13.5447169318421,46.5116099987343
388338.378084925,5151901.31545923,_61,House,Masonary_wood,3,MA_3,879427,1087950,7.33,7,Tarvisio,TarvisioB2,302,1,388338.378085,5151901.315459,Sem26,13.5444692614791,46.5114189965263
388392.835635086,5151872.74344695,_62,Garage,Concrete,1,RC_1,52666,79848,0,0,Tarvisio,TarvisioB2,170,1,388392.835635,5151872.743447,Sem26,13.5451857532074,46.511170974296
388290.324167133,5151914.42009072,_63,House,Masonary_wood,2,MA_2,354565,438637,7.33,7,Tarvisio,TarvisioB2,183,1,388290.324167,5151914.420091,Sem26,13.5438399260375,46.5115289225088
388265.952654709,5151905.16885987,_64,House,Masonary,2,MA_2,430081,532059,7.33,7,Tarvisio,TarvisioB2,222,1,388265.952655,5151905.16886,Sem26,13.5435245663742,46.5114416484424
388468.182956515,5151951.47933779,_65,Hotel,Masonary_wood,3,MA_3,1360721,2041082,0,55,Tarvisio,TarvisioB2,504,1,388468.182957,5151951.479338,Sem26,13.5461487012438,46.5118918182799
388496.984744205,5151942.09051509,_66,Hotel,Masonary_wood,3,MA_3,1785605,2678407,0,72,Tarvisio,TarvisioB2,661,1,388496.984744,5151942.090515,Sem26,13.5465262705164,46.5118121211655
388472.175740921,5151960.10821761,_67,Hotel,Masonary_wood,3,MA_3,70624,105936,0,3,Tarvisio,TarvisioB2,26,1,388472.175741,5151960.108218,Sem26,13.5461986609224,46.5119701105873
388527.897709974,5151940.25317894,_68,House,Masonary_wood,2,MA_2,215171,266191,7.33,7,Tarvisio,TarvisioB2,111,1,388527.89771,5151940.253179,Sem26,13.5469295384963,46.5118007103303
388537.163583242,5151942.81229261,_69,House,Masonary,2,MA_2,145521,180025,7.33,7,Tarvisio,TarvisioB2,75,1,388537.163583,5151942.812293,Sem26,13.5470496685472,46.511825267849
388542.70991151,5151926.8432745,_70,House,Masonary,3,MA_3,605051,748517,7.33,7,Tarvisio,TarvisioB2,208,1,388542.709912,5151926.843274,Sem26,13.5471257720244,46.5116825185847
